# Liang et al., "Monitoring AI-Modified Content at Scale: A Case Study on the Impact of
# ChatGPT on AI Conference Peer Reviews", ICML 2024. arXiv:2403.07183v3.
# Appendix A Table 2 (top 100 adjectives) and Appendix B Table 3 (top 100 adverbs),
# transcribed by hand on 2026-08-26 for rule-sources-S3. The paper publishes no
# per-word fold-increase: the tables are ranked lists, and only "commendable" (9.8x),
# "meticulous" (34.7x) and "intricate" (11.2x) carry a stated multiplier, in Figure 1.
# "rank" is therefore the paper's own table position, and the only numeric input.
rank	pos	word
1	adjective	commendable
2	adjective	innovative
3	adjective	meticulous
4	adjective	intricate
5	adjective	notable
6	adjective	versatile
7	adjective	noteworthy
8	adjective	invaluable
9	adjective	pivotal
10	adjective	potent
11	adjective	fresh
12	adjective	ingenious
13	adjective	cogent
14	adjective	ongoing
15	adjective	tangible
16	adjective	profound
17	adjective	methodical
18	adjective	laudable
19	adjective	lucid
20	adjective	appreciable
21	adjective	fascinating
22	adjective	adaptable
23	adjective	admirable
24	adjective	refreshing
25	adjective	proficient
26	adjective	intriguing
27	adjective	thoughtful
28	adjective	credible
29	adjective	exceptional
30	adjective	digestible
31	adjective	prevalent
32	adjective	interpretative
33	adjective	remarkable
34	adjective	seamless
35	adjective	economical
36	adjective	proactive
37	adjective	interdisciplinary
38	adjective	sustainable
39	adjective	optimizable
40	adjective	comprehensive
41	adjective	vital
42	adjective	pragmatic
43	adjective	comprehensible
44	adjective	unique
45	adjective	fuller
46	adjective	authentic
47	adjective	foundational
48	adjective	distinctive
49	adjective	pertinent
50	adjective	valuable
51	adjective	invasive
52	adjective	speedy
53	adjective	inherent
54	adjective	considerable
55	adjective	holistic
56	adjective	insightful
57	adjective	operational
58	adjective	substantial
59	adjective	compelling
60	adjective	technological
61	adjective	beneficial
62	adjective	excellent
63	adjective	keen
64	adjective	cultural
65	adjective	unauthorized
66	adjective	strategic
67	adjective	expansive
68	adjective	prospective
69	adjective	vivid
70	adjective	consequential
71	adjective	manageable
72	adjective	unprecedented
73	adjective	inclusive
74	adjective	asymmetrical
75	adjective	cohesive
76	adjective	replicable
77	adjective	quicker
78	adjective	defensive
79	adjective	wider
80	adjective	imaginative
81	adjective	traditional
82	adjective	competent
83	adjective	contentious
84	adjective	widespread
85	adjective	environmental
86	adjective	instrumental
87	adjective	substantive
88	adjective	creative
89	adjective	academic
90	adjective	sizeable
91	adjective	extant
92	adjective	demonstrable
93	adjective	prudent
94	adjective	practicable
95	adjective	signatory
96	adjective	continental
97	adjective	unnoticed
98	adjective	automotive
99	adjective	minimalistic
100	adjective	intelligent
1	adverb	meticulously
2	adverb	reportedly
3	adverb	lucidly
4	adverb	innovatively
5	adverb	aptly
6	adverb	methodically
7	adverb	excellently
8	adverb	compellingly
9	adverb	impressively
10	adverb	undoubtedly
11	adverb	scholarly
12	adverb	strategically
13	adverb	intriguingly
14	adverb	competently
15	adverb	intelligently
16	adverb	hitherto
17	adverb	thoughtfully
18	adverb	profoundly
19	adverb	undeniably
20	adverb	admirably
21	adverb	creatively
22	adverb	logically
23	adverb	markedly
24	adverb	thereby
25	adverb	contextually
26	adverb	distinctly
27	adverb	judiciously
28	adverb	cleverly
29	adverb	invariably
30	adverb	successfully
31	adverb	chiefly
32	adverb	refreshingly
33	adverb	constructively
34	adverb	inadvertently
35	adverb	effectively
36	adverb	intellectually
37	adverb	rightly
38	adverb	convincingly
39	adverb	comprehensively
40	adverb	seamlessly
41	adverb	predominantly
42	adverb	coherently
43	adverb	evidently
44	adverb	notably
45	adverb	professionally
46	adverb	subtly
47	adverb	synergistically
48	adverb	productively
49	adverb	purportedly
50	adverb	remarkably
51	adverb	traditionally
52	adverb	starkly
53	adverb	promptly
54	adverb	richly
55	adverb	nonetheless
56	adverb	elegantly
57	adverb	smartly
58	adverb	solidly
59	adverb	inadequately
60	adverb	effortlessly
61	adverb	forth
62	adverb	firmly
63	adverb	autonomously
64	adverb	duly
65	adverb	critically
66	adverb	immensely
67	adverb	beautifully
68	adverb	maliciously
69	adverb	finely
70	adverb	succinctly
71	adverb	further
72	adverb	robustly
73	adverb	decidedly
74	adverb	conclusively
75	adverb	diversely
76	adverb	exceptionally
77	adverb	concurrently
78	adverb	appreciably
79	adverb	methodologically
80	adverb	universally
81	adverb	thoroughly
82	adverb	soundly
83	adverb	particularly
84	adverb	elaborately
85	adverb	uniquely
86	adverb	neatly
87	adverb	definitively
88	adverb	substantively
89	adverb	usefully
90	adverb	adversely
91	adverb	primarily
92	adverb	principally
93	adverb	discriminatively
94	adverb	efficiently
95	adverb	scientifically
96	adverb	alike
97	adverb	herein
98	adverb	additionally
99	adverb	subsequently
100	adverb	potentially
